,Token,Frequency_x,Frequency_y,Difference
12,pct,0.00543229499374,0.00233555484577,0.00309674014797
20,profit,0.00395853348155,0.00133694734144,0.0026215861401
1,to,0.0231476125566,0.0209000597145,0.00224755284219
11,2017,0.00569887984065,0.00348187041332,0.00221700942734
34,net,0.00266584846915,0.000547908542197,0.00211793992695
31,sees,0.00291231370498,0.00107056784282,0.00184174586216
0,BRIEF,0.0394243779268,0.0376440942655,0.00178028366126
16,FY,0.00447661346706,0.0031612050453,0.00131540842176
49,Y,0.00188621353949,0.000821862813296,0.0010643507262
22,up,0.00372212805126,0.0026852568416,0.00103687120967
62,down,0.00156429976209,0.000835749896162,0.000728549865923
121,yields,0.00086514327678,0.000244917643286,0.000620225633494
86,Expects,0.0011669374431,0.000560533162985,0.000606404280114
36,Reports,0.00255016070539,0.00198206546371,0.000568095241685
120,LIVE,0.000870173179552,0.000315615519699,0.000554557659854
66,MARKETS,0.00145867180387,0.000908972696733,0.000549699107141
230,Rise,0.000518079985514,0.0,0.000518079985514
19,Profit,0.00400883250927,0.00350206980658,0.000506762702689
243,Super,0.000497960374426,0.0,0.000497960374426
274,Bowl,0.000452691249478,0.0,0.000452691249478
42,mln,0.00216285819195,0.00171189857885,0.000450959613105
73,Qtr,0.00133795413735,0.00090139792426,0.000436556213087
57,Technology,0.00162968849812,0.0011968140507,0.000432874447423
140,loss,0.000769575124113,0.000362326616614,0.000407248507499
95,Percent,0.00103113006826,0.000627443653161,0.000403686415095
353,Union,0.000372212805126,0.0,0.000372212805126
13,as,0.0049896635498,0.00461808628423,0.00037157726557
150,EPS,0.000719276096393,0.000358539230378,0.000360736866015
56,Earnings,0.00166489781753,0.00130791071363,0.000356987103893
38,India,0.00226848615016,0.00191894235977,0.000349543790394
226,opposition,0.000528139791058,0.000179269615189,0.000348870175869
390,futures,0.000347063291267,0.0,0.000347063291267
117,Russian,0.000880232985096,0.00053402145933,0.000346211525766
151,January,0.000704186388077,0.000362326616614,0.000341859771463
29,Per,0.00300788185764,0.00266631991042,0.000341561947228
137,bond,0.000784664832429,0.000443124189657,0.000341540642772
83,5,0.00118705705419,0.000850899441108,0.000336157613079
212,Apple,0.000543229499374,0.000210831167159,0.000332398332215
23,Share,0.00364667950969,0.00332027526723,0.000326404242453
114,fall,0.00089029279064,0.000576945170009,0.000313347620631
438,29,0.000311853971863,0.0,0.000311853971863
24,Q4,0.00359638048197,0.0032861887911,0.000310191690861
446,swing,0.000306824069091,0.0,0.000306824069091
457,jet,0.000296764263547,0.0,0.000296764263547
176,Q3,0.000623707943725,0.000326977678408,0.000296730265317
252,drop,0.000492930471654,0.000198206546371,0.000294723925283
136,Euros,0.000789694735201,0.000496147596967,0.000293547138234
462,Treasury,0.000291734360775,0.0,0.000291734360775
32,Net,0.00287710438557,0.00258552233737,0.000291582048199
206,50,0.00055831920769,0.000268904422783,0.000289414784906
479,test,0.000286704458003,0.0,0.000286704458003
185,falls,0.000598558429866,0.000320665368014,0.000277893061852
175,30,0.000628737846497,0.000350964457905,0.000277773388592
90,German,0.00108645899875,0.000809238192508,0.00027722080624
510,quarterly,0.000276644652459,0.0,0.000276644652459
512,Samsung,0.000276644652459,0.0,0.000276644652459
70,a,0.00142346248447,0.00115136541586,0.000272097068609
193,Beijing,0.00058346872155,0.000316877981778,0.000266590739772
292,sanctions,0.00043257163839,0.000166644994401,0.000265926643989
81,Jan,0.00123735608191,0.00097462072483,0.000262735357077
92,Rises,0.00106633938766,0.000805450806271,0.000260888581388
225,GAAP,0.000528139791058,0.000268904422783,0.000259235368274
549,80,0.000256525041371,0.0,0.000256525041371
544,35,0.000256525041371,0.0,0.000256525041371
553,Service,0.000251495138599,0.0,0.000251495138599
556,acquire,0.000251495138599,0.0,0.000251495138599
99,Sees,0.00100095065162,0.000753689861041,0.000247260790583
108,growth,0.000925502110044,0.000679204598392,0.000246297511652
105,Wall,0.000935561915588,0.00069182921918,0.000243732696408
579,early,0.000241435333055,0.0,0.000241435333055
583,AIRSHOW,0.000241435333055,0.0,0.000241435333055
48,Bank,0.00193651256721,0.00169548657182,0.00024102599539
283,Bancorp,0.000442631443934,0.000205781318844,0.000236850125091
596,Guangdong,0.000236405430283,0.0,0.000236405430283
72,Capital,0.00136813355398,0.00113621587092,0.000231917683063
161,cash,0.000674006971445,0.000444386651736,0.000229620319709
613,Airlines,0.000226345624739,0.0,0.000226345624739
618,slide,0.000226345624739,0.0,0.000226345624739
623,memo,0.000226345624739,0.0,0.000226345624739
610,people,0.000226345624739,0.0,0.000226345624739
624,track,0.000226345624739,0.0,0.000226345624739
88,Investment,0.00112166831815,0.000897610538023,0.000224057780128
652,six,0.000221315721967,0.0,0.000221315721967
646,Pending,0.000221315721967,0.0,0.000221315721967
637,Wins,0.000221315721967,0.0,0.000221315721967
636,selloff,0.000221315721967,0.0,0.000221315721967
654,slump,0.000216285819195,0.0,0.000216285819195
662,joint,0.000216285819195,0.0,0.000216285819195
269,Halt,0.00045772115225,0.000244917643286,0.000212803508964
684,changes,0.000211255916423,0.0,0.000211255916423
686,list,0.000211255916423,0.0,0.000211255916423
682,Over,0.000211255916423,0.0,0.000211255916423
680,drops,0.000211255916423,0.0,0.000211255916423
676,office,0.000211255916423,0.0,0.000211255916423
671,city,0.000211255916423,0.0,0.000211255916423
78,stocks,0.00130274481794,0.00109202969816,0.000210715119785
156,higher,0.000689096679761,0.000479735589942,0.000209361089819
384,rising,0.000357123096811,0.000148970525298,0.000208152571513
707,Steinhoff,0.000206226013651,0.0,0.000206226013651
699,merger,0.000206226013651,0.0,0.000206226013651
691,Dubai,0.000206226013651,0.0,0.000206226013651
692,diesel,0.000206226013651,0.0,0.000206226013651
705,worst,0.000206226013651,0.0,0.000206226013651
697,strikes,0.000206226013651,0.0,0.000206226013651
701,poll,0.000206226013651,0.0,0.000206226013651
700,tests,0.000206226013651,0.0,0.000206226013651
127,Dividend,0.000845023665693,0.00063880581187,0.000206217853822
254,Consol,0.000487900568882,0.000286578891887,0.000201321676995
708,volatility,0.000201196110879,0.0,0.000201196110879
717,IOC,0.000201196110879,0.0,0.000201196110879
716,potential,0.000201196110879,0.0,0.000201196110879
