,Token,Frequency_x,Frequency_y,Difference
12,pct,0.00543229499374,0.00233555484577,0.00309674014797
20,profit,0.00395853348155,0.00133694734144,0.0026215861401
1,to,0.0231476125566,0.0209000597145,0.00224755284219
11,2017,0.00569887984065,0.00348187041332,0.00221700942734
34,net,0.00266584846915,0.000547908542197,0.00211793992695
31,sees,0.00291231370498,0.00107056784282,0.00184174586216
0,BRIEF,0.0394243779268,0.0376440942655,0.00178028366126
16,FY,0.00447661346706,0.0031612050453,0.00131540842176
49,Y,0.00188621353949,0.000821862813296,0.0010643507262
22,up,0.00372212805126,0.0026852568416,0.00103687120967
121,yields,0.00086514327678,0.0,0.00086514327678
62,down,0.00156429976209,0.000835749896162,0.000728549865923
86,Expects,0.0011669374431,0.000560533162985,0.000606404280114
36,Reports,0.00255016070539,0.00198206546371,0.000568095241685
206,50,0.00055831920769,0.0,0.00055831920769
120,LIVE,0.000870173179552,0.000315615519699,0.000554557659854
66,MARKETS,0.00145867180387,0.000908972696733,0.000549699107141
212,Apple,0.000543229499374,0.0,0.000543229499374
226,opposition,0.000528139791058,0.0,0.000528139791058
225,GAAP,0.000528139791058,0.0,0.000528139791058
230,Rise,0.000518079985514,0.0,0.000518079985514
19,Profit,0.00400883250927,0.00350206980658,0.000506762702689
243,Super,0.000497960374426,0.0,0.000497960374426
252,drop,0.000492930471654,0.0,0.000492930471654
269,Halt,0.00045772115225,0.0,0.00045772115225
274,Bowl,0.000452691249478,0.0,0.000452691249478
42,mln,0.00216285819195,0.00171189857885,0.000450959613105
283,Bancorp,0.000442631443934,0.0,0.000442631443934
73,Qtr,0.00133795413735,0.00090139792426,0.000436556213087
57,Technology,0.00162968849812,0.0011968140507,0.000432874447423
288,earnings,0.00043257163839,0.0,0.00043257163839
292,sanctions,0.00043257163839,0.0,0.00043257163839
296,Q2,0.000422511832846,0.0,0.000422511832846
300,Syrian,0.000417481930074,0.0,0.000417481930074
305,Boeing,0.000412452027302,0.0,0.000412452027302
310,Industrial,0.00040742212453,0.0,0.00040742212453
140,loss,0.000769575124113,0.000362326616614,0.000407248507499
95,Percent,0.00103113006826,0.000627443653161,0.000403686415095
322,forecast,0.000402392221758,0.0,0.000402392221758
323,open,0.000397362318986,0.0,0.000397362318986
330,this,0.000392332416214,0.0,0.000392332416214
342,company,0.00038227261067,0.0,0.00038227261067
351,Updates,0.000377242707898,0.0,0.000377242707898
353,Union,0.000372212805126,0.0,0.000372212805126
357,beats,0.000372212805126,0.0,0.000372212805126
13,as,0.0049896635498,0.00461808628423,0.00037157726557
363,cryptocurrency,0.000367182902354,0.0,0.000367182902354
371,Operating,0.000367182902354,0.0,0.000367182902354
375,Commercial,0.000362152999583,0.0,0.000362152999583
373,rates,0.000362152999583,0.0,0.000362152999583
150,EPS,0.000719276096393,0.000358539230378,0.000360736866015
386,60,0.000357123096811,0.0,0.000357123096811
384,rising,0.000357123096811,0.0,0.000357123096811
383,expects,0.000357123096811,0.0,0.000357123096811
56,Earnings,0.00166489781753,0.00130791071363,0.000356987103893
388,Reuters,0.000352093194039,0.0,0.000352093194039
38,India,0.00226848615016,0.00191894235977,0.000349543790394
390,futures,0.000347063291267,0.0,0.000347063291267
398,Australian,0.000347063291267,0.0,0.000347063291267
117,Russian,0.000880232985096,0.00053402145933,0.000346211525766
151,January,0.000704186388077,0.000362326616614,0.000341859771463
29,Per,0.00300788185764,0.00266631991042,0.000341561947228
137,bond,0.000784664832429,0.000443124189657,0.000341540642772
406,Information,0.000337003485723,0.0,0.000337003485723
83,5,0.00118705705419,0.000850899441108,0.000336157613079
408,M,0.000331973582951,0.0,0.000331973582951
417,health,0.000326943680179,0.0,0.000326943680179
412,team,0.000326943680179,0.0,0.000326943680179
416,estimates,0.000326943680179,0.0,0.000326943680179
415,big,0.000326943680179,0.0,0.000326943680179
418,REIT,0.000326943680179,0.0,0.000326943680179
23,Share,0.00364667950969,0.00332027526723,0.000326404242453
421,ECB,0.000321913777407,0.0,0.000321913777407
428,Proposes,0.000316883874635,0.0,0.000316883874635
426,11,0.000316883874635,0.0,0.000316883874635
114,fall,0.00089029279064,0.000576945170009,0.000313347620631
435,some,0.000311853971863,0.0,0.000311853971863
432,board,0.000311853971863,0.0,0.000311853971863
434,losses,0.000311853971863,0.0,0.000311853971863
438,29,0.000311853971863,0.0,0.000311853971863
437,seen,0.000311853971863,0.0,0.000311853971863
24,Q4,0.00359638048197,0.0032861887911,0.000310191690861
446,swing,0.000306824069091,0.0,0.000306824069091
440,maker,0.000306824069091,0.0,0.000306824069091
458,Asset,0.000296764263547,0.0,0.000296764263547
459,orders,0.000296764263547,0.0,0.000296764263547
460,posts,0.000296764263547,0.0,0.000296764263547
457,jet,0.000296764263547,0.0,0.000296764263547
176,Q3,0.000623707943725,0.000326977678408,0.000296730265317
136,Euros,0.000789694735201,0.000496147596967,0.000293547138234
466,trading,0.000291734360775,0.0,0.000291734360775
468,faces,0.000291734360775,0.0,0.000291734360775
462,Treasury,0.000291734360775,0.0,0.000291734360775
471,threat,0.000291734360775,0.0,0.000291734360775
465,launch,0.000291734360775,0.0,0.000291734360775
467,President,0.000291734360775,0.0,0.000291734360775
32,Net,0.00287710438557,0.00258552233737,0.000291582048199
473,Quarterly,0.000286704458003,0.0,0.000286704458003
480,Telecom,0.000286704458003,0.0,0.000286704458003
479,test,0.000286704458003,0.0,0.000286704458003
487,40,0.000286704458003,0.0,0.000286704458003
475,I,0.000286704458003,0.0,0.000286704458003
498,annual,0.000281674555231,0.0,0.000281674555231
495,Indonesia,0.000281674555231,0.0,0.000281674555231
496,dead,0.000281674555231,0.0,0.000281674555231
490,nuclear,0.000281674555231,0.0,0.000281674555231
185,falls,0.000598558429866,0.000320665368014,0.000277893061852
175,30,0.000628737846497,0.000350964457905,0.000277773388592
90,German,0.00108645899875,0.000809238192508,0.00027722080624
70,a,0.00142346248447,0.00115136541586,0.000272097068609
193,Beijing,0.00058346872155,0.000316877981778,0.000266590739772
81,Jan,0.00123735608191,0.00097462072483,0.000262735357077
92,Rises,0.00106633938766,0.000805450806271,0.000260888581388
99,Sees,0.00100095065162,0.000753689861041,0.000247260790583
