,Token,Frequency_x,Frequency_y,Difference
1,BRIEF,0.0193387845557,0.0139453849533,0.00539339960244
19,To,0.00364741544555,0.00131073721057,0.00233667823498
20,Of,0.00341975049195,0.00108524206908,0.00233450842286
9,2015,0.00480484496494,0.00317112898085,0.00163371598409
63,Profit,0.0012975310293,0.0,0.0012975310293
31,In,0.00223366384553,0.000962602080734,0.0012710617648
39,2017,0.0018770418203,0.000669533117849,0.00120750870245
70,Mln,0.00120678346038,0.0,0.00120678346038
52,Says,0.00145196110273,0.000277150129961,0.00117481097277
80,Per,0.00105235338695,0.0,0.00105235338695
10,REG,0.00471409739602,0.00375700700731,0.000957090388715
54,Share,0.00143285635137,0.000531624044858,0.000901232306517
23,pct,0.00300263008744,0.00213257132587,0.000870058761562
22,China,0.00329716167077,0.00242931136656,0.000867850304217
47,FY,0.00157136579867,0.000770828875113,0.000800536923562
26,Net,0.00251068274013,0.00171172936321,0.000798953376924
49,For,0.001561813423,0.000781322309877,0.000780491113121
71,Q4,0.00116857395768,0.000426819646868,0.000741754310809
76,Brexit,0.00108578670182,0.000360902683594,0.000724884018226
138,August,0.000702099612174,0.0,0.000702099612174
45,Form,0.00163664036579,0.000942687295871,0.000693953069921
4,s,0.0140435843061,0.0133687658398,0.000674818466236
166,Y,0.000624088544154,0.0,0.000624088544154
79,H1,0.00105553751218,0.00044861870175,0.000606918810429
59,8.3,0.00134051671984,0.000737529275627,0.000602987444214
55,India,0.00142489603831,0.000849805778868,0.000575090259444
185,Loss,0.000550853663973,0.0,0.000550853663973
184,Dec,0.000550853663973,0.0,0.000550853663973
207,Pct,0.000511052098657,0.0,0.000511052098657
114,As,0.000781702742805,0.000285726807292,0.000495975935514
218,Revenue,0.00048876322208,0.0,0.00048876322208
219,UCITS,0.000485579096855,0.0,0.000485579096855
222,TeamReport,0.000474434658566,0.0,0.000474434658566
66,sees,0.00124817708831,0.000776026861374,0.000472150226935
40,net,0.00182927994192,0.00136395159492,0.000465328346999
110,Up,0.000803991619382,0.000347940205355,0.000456051414028
25,Group,0.00268740169013,0.00224640722499,0.000440994465141
261,Key,0.000439409281088,0.0,0.000439409281088
277,Qtr,0.000423488654962,0.0,0.000423488654962
280,Jan,0.000421896592349,0.0,0.000421896592349
283,markets,0.000420304529737,0.0,0.000420304529737
81,stocks,0.00104280101128,0.000623530939438,0.000419270071841
296,economy,0.00040438390361,0.0,0.00040438390361
11,as,0.00468066408116,0.00428385540229,0.000396808678869
306,Percent,0.000391647402709,0.0,0.000391647402709
307,day,0.000391647402709,0.0,0.000391647402709
105,On,0.000815136057671,0.000431302910018,0.000383833147653
315,Signs,0.000382095027033,0.0,0.000382095027033
321,Expects,0.000377318839195,0.0,0.000377318839195
320,St,0.000377318839195,0.0,0.000377318839195
324,EUR,0.000375726776583,0.0,0.000375726776583
137,MARKETS,0.000705283737399,0.000331988885016,0.000373294852383
129,At,0.00072438848875,0.000358531102362,0.000365857386389
345,SHAREHOLDER,0.000362990275682,0.0,0.000362990275682
106,pay,0.000813543995058,0.000453166939729,0.000360377055329
112,2018,0.000796031306319,0.000437345569046,0.000358685737273
116,Shares,0.000765782116679,0.00040765207253,0.000358130044149
77,And,0.00107145813831,0.000718751550259,0.000352706588047
359,School,0.000351845837393,0.0,0.000351845837393
363,Pipeline,0.000348661712168,0.0,0.000348661712168
365,GLOBAL,0.000347069649555,0.0,0.000347069649555
369,Billion,0.000345477586943,0.0,0.000345477586943
374,By,0.00034388552433,0.0,0.00034388552433
372,Indian,0.00034388552433,0.0,0.00034388552433
371,Contract,0.00034388552433,0.0,0.00034388552433
373,Industrial,0.00034388552433,0.0,0.00034388552433
376,Rises,0.000342293461717,0.0,0.000342293461717
382,yields,0.000340701399105,0.0,0.000340701399105
378,Information,0.000340701399105,0.0,0.000340701399105
380,Unit,0.000340701399105,0.0,0.000340701399105
379,killed,0.000340701399105,0.0,0.000340701399105
384,investors,0.000339109336492,0.0,0.000339109336492
387,amid,0.000337517273879,0.0,0.000337517273879
386,Beijing,0.000337517273879,0.0,0.000337517273879
393,global,0.000335925211267,0.0,0.000335925211267
92,Q2,0.000882002687402,0.00055043425764,0.000331568429761
400,Sees,0.000331149023429,0.0,0.000331149023429
404,Tech,0.000331149023429,0.0,0.000331149023429
405,Greek,0.000329556960816,0.0,0.000329556960816
406,Posts,0.000329556960816,0.0,0.000329556960816
409,September,0.000327964898204,0.0,0.000327964898204
410,Investigation,0.000327964898204,0.0,0.000327964898204
414,Aug,0.000326372835591,0.0,0.000326372835591
60,Million,0.00133096434417,0.00100519308066,0.000325771263504
418,demand,0.000324780772978,0.0,0.000324780772978
423,Review,0.000321596647753,0.0,0.000321596647753
75,down,0.00109693114011,0.000775409600505,0.000321521539603
24,up,0.00276382069554,0.00244626979673,0.000317550898807
164,Britain,0.000630456794605,0.00031519289191,0.000315263902695
433,Shanghai,0.000315228397302,0.0,0.000315228397302
435,Apple,0.00031363633469,0.0,0.00031363633469
87,PLC,0.000944093129295,0.00063093806986,0.000313155059435
438,Street,0.000310452209464,0.0,0.000310452209464
439,calls,0.000310452209464,0.0,0.000310452209464
441,firms,0.000308860146852,0.0,0.000308860146852
449,open,0.000307268084239,0.0,0.000307268084239
450,Dollar,0.000307268084239,0.0,0.000307268084239
447,near,0.000307268084239,0.0,0.000307268084239
448,Trade,0.000307268084239,0.0,0.000307268084239
452,buys,0.000305676021627,0.0,0.000305676021627
18,1,0.00377796457979,0.00347326193228,0.000304702647513
454,Performance,0.000304083959014,0.0,0.000304083959014
453,Issuer,0.000304083959014,0.0,0.000304083959014
459,fears,0.000300899833789,0.0,0.000300899833789
460,Pharma,0.000300899833789,0.0,0.000300899833789
464,24,0.000299307771176,0.0,0.000299307771176
469,plc,0.000296123645951,0.0,0.000296123645951
471,Open,0.000294531583338,0.0,0.000294531583338
474,BARCLAYS,0.000294531583338,0.0,0.000294531583338
472,Master,0.000294531583338,0.0,0.000294531583338
475,Stake,0.000294531583338,0.0,0.000294531583338
470,worth,0.000294531583338,0.0,0.000294531583338
479,risk,0.000294531583338,0.0,0.000294531583338
481,official,0.000292939520725,0.0,0.000292939520725
484,outlook,0.000291347458113,0.0,0.000291347458113
487,List,0.000291347458113,0.0,0.000291347458113
486,Funds,0.000291347458113,0.0,0.000291347458113
489,FOREX,0.0002897553955,0.0,0.0002897553955
494,Bln,0.000288163332888,0.0,0.000288163332888
492,Yuan,0.000288163332888,0.0,0.000288163332888
497,power,0.000286571270275,0.0,0.000286571270275
496,names,0.000286571270275,0.0,0.000286571270275
35,after,0.00210789089913,0.00182537033784,0.000282520561292
42,With,0.00170509905814,0.00142532032022,0.000279778737918
28,profit,0.00229416222481,0.0020206846716,0.000273477553209
121,From,0.000754637678391,0.000487993447678,0.000266644230712
83,EU,0.00101414388425,0.000751011552492,0.000263132331759
15,UPDATE,0.00427468811493,0.00402099973455,0.000253688380389
136,Development,0.000711651987849,0.000459177111343,0.000252474876506
183,vote,0.000555629851811,0.000305121793529,0.000250508058282
149,German,0.000686178986047,0.00044075674753,0.000245422238517
152,fall,0.000679810735597,0.000441633907712,0.000238176827885
82,PlayerWatch,0.00101892007209,0.000789639087895,0.000229280984194
181,Co,0.000560406039649,0.000336147274025,0.000224258765624
159,Wall,0.000654337733794,0.000442056244096,0.000212281489699
120,Variable,0.000756229741003,0.000544521548268,0.000211708192735
118,Fix,0.000759413866229,0.0005498819716,0.000209531894628
