,Token,Frequency_x,Frequency_y,Difference
7,To,0.00656282010525944,0.001106147517588766,0.0054566725876706735
8,Of,0.006460386422238706,0.0012133834704731,0.005247002951765606
17,In,0.003691144784712656,0.0007772200032209291,0.002913924781491727
24,Profit,0.0028151601850870686,0.0,0.0028151601850870686
32,Share,0.0025608420755183496,0.0,0.0025608420755183496
22,Says,0.00304122072692593,0.0005691976565575123,0.0024720230703684175
15,2017,0.004090282928896895,0.0017267491228358963,0.0023635338060609985
27,Mln,0.0026774045424040127,0.0004959422165709966,0.0021814623258330163
38,Per,0.0021122531878068596,0.0,0.0021122531878068596
41,Net,0.0020274804846172867,0.0,0.0020274804846172867
33,For,0.00252905231182226,0.0005678499874907432,0.0019612023243315165
49,Reports,0.0017908233548797287,0.0,0.0017908233548797287
39,Announces,0.002087527816043234,0.0004204727488319319,0.001667055067211302
31,Q4,0.0025608420755183496,0.0009732095903596226,0.001587632485158727
53,And,0.001522376461446081,0.0,0.001522376461446081
55,Million,0.0014799901098512945,0.0,0.0014799901098512945
58,With,0.0014482003461552047,0.0,0.0014482003461552047
60,As,0.0014234749743915792,0.0,0.0014234749743915792
21,FY,0.0033096676203595776,0.0018875067900861998,0.0014221608302733778
65,Y,0.0013598954469993996,0.0,0.0013598954469993996
35,Brexit,0.002408957648970365,0.001059652934785235,0.00134930471418513
69,Up,0.0012857193317085231,0.0,0.0012857193317085231
71,At,0.00123273639221504,0.0,0.00123273639221504
75,Dec,0.0012150754123838791,0.0,0.0012150754123838791
78,Loss,0.0011726890607890925,0.0,0.0011726890607890925
79,Earnings,0.0011691568648228604,0.0,0.0011691568648228604
81,On,0.0011550280809579315,0.0,0.0011550280809579315
84,Pct,0.0011338349051605383,0.0,0.0011338349051605383
52,2018,0.0016036169686694218,0.0005570686349565911,0.0010465483337128308
94,Shares,0.001010208046342411,0.0,0.001010208046342411
34,sees,0.002416022040902829,0.0014604882200728185,0.0009555338208300107
108,Qtr,0.0009395641270177669,0.0,0.0009395641270177669
112,Jan,0.0008865811875242839,0.0,0.0008865811875242839
113,From,0.0008865811875242839,0.0,0.0008865811875242839
114,Agreement,0.0008830489915580516,0.0,0.0008830489915580516
126,Expects,0.0008194694641658719,0.0,0.0008194694641658719
42,EU,0.0019921585249549644,0.001230133071731515,0.0007620254532234494
135,Rises,0.0007488255448412277,0.0,0.0007488255448412277
136,Revenue,0.0007488255448412277,0.0,0.0007488255448412277
139,Board,0.000734696760976299,0.0,0.000734696760976299
142,Percent,0.0007241001730776024,0.0,0.0007241001730776024
149,The,0.0007099713892126735,0.0,0.0007099713892126735
151,Sees,0.0007029069972802091,0.0,0.0007029069972802091
155,Posts,0.0006923104093815125,0.0,0.0006923104093815125
162,Unit,0.000667585037617887,0.0,0.000667585037617887
169,yields,0.0006428596658542616,0.0,0.0006428596658542616
171,Bln,0.0006393274698880294,0.0,0.0006393274698880294
76,MARKETS,0.001183285648687789,0.0005530256277562841,0.000630260020931505
175,Stake,0.0006251986860231005,0.0,0.0006251986860231005
44,India,0.0019215146056303205,0.001299634290746317,0.0006218803148840034
0,BRIEF,0.0363568930804281,0.03573806588503786,0.0006188271953902411
179,LIVE,0.0006110699021581717,0.0,0.0006110699021581717
180,Yuan,0.0006110699021581717,0.0,0.0006110699021581717
80,2015,0.0011585602769241638,0.0005502340275465483,0.0006083262493776155
184,Dividend,0.000596941118293243,0.0,0.000596941118293243
192,Beijing,0.0005757479424958496,0.0,0.0005757479424958496
196,Signs,0.0005686835505633853,0.0,0.0005686835505633853
194,Appoints,0.0005686835505633853,0.0,0.0005686835505633853
208,Euros,0.0005545547666984564,0.0,0.0005545547666984564
82,Britain,0.0011479636890254672,0.0005951884171309146,0.0005527752718945526
212,50,0.000547490374765992,0.0,0.000547490374765992
89,vote,0.0011020451414644485,0.0005569723728803933,0.0005450727685840552
215,Offering,0.0005439581787997598,0.0,0.0005439581787997598
57,pay,0.001451732542121437,0.0009207467588318289,0.0005309857832896081
224,EPS,0.0005262971989685988,0.0,0.0005262971989685988
223,By,0.0005262971989685988,0.0,0.0005262971989685988
229,Qtrly,0.0005227650030023666,0.0,0.0005227650030023666
226,January,0.0005227650030023666,0.0,0.0005227650030023666
230,rules,0.0005227650030023666,0.0,0.0005227650030023666
236,Shenzhen,0.0005157006110699022,0.0,0.0005157006110699022
61,Technology,0.0014128783864928826,0.0009002429366017004,0.0005126354498911823
240,calls,0.00051216841510367,0.0,0.00051216841510367
239,Sales,0.00051216841510367,0.0,0.00051216841510367
246,100,0.0004945074352725089,0.0,0.0004945074352725089
249,Shanghai,0.0004909752393062767,0.0,0.0004909752393062767
251,t,0.0004874430433400445,0.0,0.0004874430433400445
255,Development,0.0004839108473738123,0.0,0.0004839108473738123
254,demand,0.0004839108473738123,0.0,0.0004839108473738123
97,June,0.0009996114584437145,0.0005184675424012786,0.0004811439160424359
258,Its,0.00047331425947511567,0.0,0.00047331425947511567
261,Business,0.00047331425947511567,0.0,0.00047331425947511567
262,economy,0.00046978206350888345,0.0,0.00046978206350888345
263,St,0.0004662498675426513,0.0,0.0004662498675426513
266,day,0.0004662498675426513,0.0,0.0004662498675426513
267,amid,0.00046271767157641906,0.0,0.00046271767157641906
274,Management,0.0004556532796439546,0.0,0.0004556532796439546
280,warns,0.000445056691745258,0.0,0.000445056691745258
278,Partners,0.000445056691745258,0.0,0.000445056691745258
279,global,0.000445056691745258,0.0,0.000445056691745258
282,Oil,0.0004415244957790258,0.0,0.0004415244957790258
281,Egypt,0.0004415244957790258,0.0,0.0004415244957790258
283,Apple,0.0004415244957790258,0.0,0.0004415244957790258
285,Issue,0.00043799229981279363,0.0,0.00043799229981279363
287,ECB,0.00043799229981279363,0.0,0.00043799229981279363
291,risk,0.0004344601038465614,0.0,0.0004344601038465614
293,opposition,0.0004309279078803292,0.0,0.0004309279078803292
14,pct,0.00451414644484476,0.004086421396672239,0.000427725048172521
299,killed,0.0004238635159478648,0.0,0.0004238635159478648
298,firms,0.0004238635159478648,0.0,0.0004238635159478648
296,Stock,0.0004238635159478648,0.0,0.0004238635159478648
297,Street,0.0004238635159478648,0.0,0.0004238635159478648
74,A,0.0012186076083501112,0.0008075425572232318,0.0004110650511268794
88,German,0.0011091095333969128,0.0007192702333498615,0.00038983930004705134
98,Co,0.0009819504786125533,0.0006016379762361663,0.00038031250237638707
120,Russian,0.0008653880117268906,0.0005272273913352772,0.0003381606203916134
116,Investment,0.0008830489915580516,0.0005554321796612287,0.00032761681189682286
105,Financial,0.0009501607149164636,0.0006392764480295009,0.0003108842668869627
62,dividend,0.001402281798594186,0.0010919969923876914,0.00031028480620649466
92,5,0.0010631909858358941,0.0007541171049334603,0.0003090738809024339
29,Group,0.0026067606230793685,0.00232328520903358,0.0002834754140457886
87,Capital,0.0011091095333969128,0.0008281426415295582,0.0002809668918673546
141,No,0.0007241001730776024,0.000455608406644124,0.00026849176643347836
118,fall,0.0008759845996255873,0.0006275324747333709,0.0002484521248922164
123,won,0.0008335982480308007,0.0006150184048276586,0.00021857984320314207
10,UPDATE,0.006234325880399845,0.006025428397524255,0.00020889748287558976
99,off,0.000974886086680089,0.0007938733424031462,0.00018101274427694285
122,Wall,0.0008441948359294973,0.000672101816012946,0.00017209301991655127
137,could,0.0007417611529087634,0.0005726630913006325,0.00016909806160813094
46,CEO,0.0018755960580693017,0.0017102883078060746,0.00016530775026322715
72,stocks,0.0012256720002825757,0.0010742847703672986,0.00015138722991527714
150,top,0.0007064391932464413,0.0005619780008426782,0.00014446119240376309
143,bond,0.0007241001730776024,0.0005892201684066518,0.00013488000467095057
163,European,0.000667585037617887,0.0005354096678120891,0.00013217536980579796
85,.,0.001130302709194306,0.0010058424341906722,0.00012446027500363386
173,higher,0.0006287308819893328,0.0005092263830862912,0.00011950449890304159
