,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed
58,1990-03-28,0.895212517635,1990-03-21,1990-03-28,6
59,1990-03-29,0.890767673399,1990-03-22,1990-03-29,6
60,1990-03-30,0.748441920373,1990-03-23,1990-03-30,6
61,1990-04-02,0.733123313303,1990-03-26,1990-04-02,6
62,1990-04-03,0.813164375996,1990-03-27,1990-04-03,6
63,1990-04-04,0.742102237902,1990-03-28,1990-04-04,6
64,1990-04-05,0.824167517122,1990-03-29,1990-04-05,6
65,1990-04-06,0.86821640216,1990-03-30,1990-04-06,6
66,1990-04-09,0.853877299594,1990-04-02,1990-04-09,6
67,1990-04-10,0.884917741436,1990-04-03,1990-04-10,6
68,1990-04-11,0.897640083529,1990-04-04,1990-04-11,6
69,1990-04-12,0.885882604733,1990-04-05,1990-04-12,6
70,1990-04-16,0.875840523999,1990-04-06,1990-04-16,6
71,1990-04-17,1.2558761504,1990-04-09,1990-04-17,6
72,1990-04-18,1.46378438547,1990-04-10,1990-04-18,6
73,1990-04-19,1.58292976224,1990-04-11,1990-04-19,6
74,1990-04-20,1.50351822196,1990-04-12,1990-04-20,6
75,1990-04-23,1.56295066448,1990-04-16,1990-04-23,6
76,1990-04-24,1.50799957998,1990-04-17,1990-04-24,6
77,1990-04-25,0.602674289916,1990-04-18,1990-04-25,6
78,1990-04-26,0.635325776007,1990-04-19,1990-04-26,6
79,1990-04-27,0.688097375608,1990-04-20,1990-04-27,6
80,1990-04-30,0.660505039498,1990-04-23,1990-04-30,6
81,1990-05-01,0.541717744618,1990-04-24,1990-05-01,6
82,1990-05-02,0.438146206887,1990-04-25,1990-05-02,6
83,1990-05-03,0.476466616867,1990-04-26,1990-05-03,6
84,1990-05-04,0.415535060714,1990-04-27,1990-05-04,6
85,1990-05-07,0.306970644239,1990-04-30,1990-05-07,6
86,1990-05-08,0.318365607136,1990-05-01,1990-05-08,6
87,1990-05-09,0.426445650087,1990-05-02,1990-05-09,6
88,1990-05-10,0.439107681233,1990-05-03,1990-05-10,6
89,1990-05-11,0.761775178687,1990-05-04,1990-05-11,6
90,1990-05-14,0.756598848383,1990-05-07,1990-05-14,6
91,1990-05-15,0.927273565071,1990-05-08,1990-05-15,6
